предмет, тип, преподавател, времетраене, компютърна, бяла дъска, проектор

ДИС, лекция, Н. Рибарска, 4, не, БЗ, не
ДИС, семинарно упрежнение, 4, Е.Недялков, не, БЗ, БЗ
ДИС, семинарно упражнение, 4, С. Апостолов, не, БЗ, БЗ
Алгебра, лекция, А. Каспарян, 3, не, БЗ, БЗ
Алгебра, семинарно упражнение, 2, В. Дончев, не, БЗ, БЗ
ИО, лекция, Н. Златева, 2, не, да, не,
ИО, семинарно упражнение, А. Попова, 2, не, да, не,
ИО, практикум, М. Хамамджиев, 2, да, БЗ, да
ООП, лекция, К. Георгиев, 3, не, БЗ, да
ООП, семинарно упражнение, 2, П. Ангелов, да, БЗ, да
ООП, семинарно упражнение, 2, К. Петровв, да, БЗ, да
ООП, практикум, К. Петровв, 2, да, БЗ, да
ООП, практикум, И. Иванова, 2, да, БЗ, да